,Day,Card,Sum
970,31,195861,0.0
971,18,195861,0.0
972,13,195861,0.0
973,19,195861,0.0
974,20,195861,0.0
975,15,195861,0.0
976,16,195861,0.0
977,17,195861,0.0
978,26,195861,0.0
979,14,195861,0.0
980,3,2375906,58.69
981,23,2375906,10.0
982,24,2375906,0.0
983,27,2375906,0.0
984,21,2375906,14.27
985,25,2375906,0.0
986,29,2375906,0.0
987,30,2375906,3.0
988,22,2375906,29.0
989,28,2375906,15.98
990,31,2375906,0.0
991,18,2375906,0.0
992,13,2375906,1.65
993,19,2375906,0.0
994,20,2375906,26.14
995,15,2375906,0.0
996,16,2375906,0.0
997,17,2375906,380.0
998,26,2375906,0.0
999,14,2375906,15.0
1000,3,297543,2164.55
1001,23,297543,0.0
1002,24,297543,0.0
1003,27,297543,0.0
1004,21,297543,0.0
1005,25,297543,0.0
1006,29,297543,0.0
1007,30,297543,0.0
1008,22,297543,0.0
1009,28,297543,0.0
1010,31,297543,0.0
1011,18,297543,0.0
1012,13,297543,0.0
1013,19,297543,0.0
1014,20,297543,0.0
1015,15,297543,0.0
1016,16,297543,118.7
1017,17,297543,11.79
1018,26,297543,0.0
1019,14,297543,5.0
1020,3,4241626,464.9
1021,23,4241626,10.54
1022,24,4241626,0.0
1023,27,4241626,207.27
1024,21,4241626,69.8
1025,25,4241626,0.0
1026,29,4241626,0.0
1027,30,4241626,0.0
1028,22,4241626,0.0
1029,28,4241626,20.17
1030,31,4241626,0.0
1031,18,4241626,0.0
1032,13,4241626,6.84
1033,19,4241626,15.25
1034,20,4241626,24.38
1035,15,4241626,7.85
1036,16,4241626,0.0
1037,17,4241626,0.0
1038,26,4241626,0.0
1039,14,4241626,0.0
1040,3,3124195,192.64
1041,23,3124195,0.0
1042,24,3124195,0.0
1043,27,3124195,114.47
1044,21,3124195,0.0
1045,25,3124195,0.0
1046,29,3124195,6.67
1047,30,3124195,0.0
1048,22,3124195,0.0
1049,28,3124195,4.8
1050,31,3124195,0.0
1051,18,3124195,0.0
1052,13,3124195,37.0
1053,19,3124195,0.0
1054,20,3124195,12.14
1055,15,3124195,12.53
1056,16,3124195,6.27
1057,17,3124195,0.0
1058,26,3124195,0.0
1059,14,3124195,0.0
1060,3,3793119,823.87
1061,23,3793119,17.74
1062,24,3793119,11.21
1063,27,3793119,225.65
1064,21,3793119,72.45
1065,25,3793119,124.98
1066,29,3793119,73.41
1067,30,3793119,23.62
1068,22,3793119,369.04
1069,28,3793119,11.16
1070,31,3793119,103.88
1071,18,3793119,9.82
1072,13,3793119,41.73
1073,19,3793119,0.0
1074,20,3793119,16.42
1075,15,3793119,54.28
1076,16,3793119,18.88
1077,17,3793119,3.8
1078,26,3793119,0.0
1079,14,3793119,9.7
1080,3,2980586,42.0
1081,23,2980586,0.0
1082,24,2980586,0.0
1083,27,2980586,0.0
1084,21,2980586,0.0
1085,25,2980586,0.0
1086,29,2980586,0.0
1087,30,2980586,0.0
1088,22,2980586,60.0
1089,28,2980586,0.0
1090,31,2980586,0.0
1091,18,2980586,0.0
1092,13,2980586,0.0
1093,19,2980586,0.0
1094,20,2980586,0.0
1095,15,2980586,2.99
1096,16,2980586,16.84
1097,17,2980586,0.0
1098,26,2980586,0.0
1099,14,2980586,10.0
1100,3,4530236,0.0
1101,23,4530236,200.0
1102,24,4530236,0.0
1103,27,4530236,0.0
1104,21,4530236,0.0
1105,25,4530236,0.0
1106,29,4530236,0.0
1107,30,4530236,0.0
1108,22,4530236,0.0
1109,28,4530236,0.0
1110,31,4530236,0.0
1111,18,4530236,0.0
1112,13,4530236,0.0
1113,19,4530236,0.0
1114,20,4530236,0.0
1115,15,4530236,0.0
1116,16,4530236,0.0
1117,17,4530236,0.0
1118,26,4530236,0.0
1119,14,4530236,0.0
1120,3,4069407,1655.18
1121,23,4069407,0.0
1122,24,4069407,99.0
1123,27,4069407,0.0
1124,21,4069407,137.15
1125,25,4069407,0.0
1126,29,4069407,0.0
1127,30,4069407,0.0
1128,22,4069407,0.0
1129,28,4069407,0.0
1130,31,4069407,0.0
1131,18,4069407,0.0
1132,13,4069407,0.0
1133,19,4069407,0.0
1134,20,4069407,0.0
1135,15,4069407,99.0
1136,16,4069407,99.0
1137,17,4069407,0.0
1138,26,4069407,0.0
1139,14,4069407,99.0
1140,3,2204665,983.92
1141,23,2204665,0.0
1142,24,2204665,0.0
1143,27,2204665,0.0
1144,21,2204665,0.0
1145,25,2204665,0.0
1146,29,2204665,0.0
1147,30,2204665,0.0
1148,22,2204665,0.0
1149,28,2204665,0.0
1150,31,2204665,0.0
1151,18,2204665,10.0
1152,13,2204665,93.44
1153,19,2204665,0.0
1154,20,2204665,2.39
1155,15,2204665,10.0
1156,16,2204665,0.0
1157,17,2204665,105.46
1158,26,2204665,0.0
1159,14,2204665,80.0
1160,3,3871623,122.41
1161,23,3871623,11.0
1162,24,3871623,13.0
1163,27,3871623,15.0
1164,21,3871623,0.0
1165,25,3871623,0.0
1166,29,3871623,0.0
1167,30,3871623,0.0
1168,22,3871623,8.94
1169,28,3871623,0.0
1170,31,3871623,0.0
1171,18,3871623,2.0
1172,13,3871623,0.0
1173,19,3871623,0.0
1174,20,3871623,23.81
1175,15,3871623,25.4
